id,name,sku,size,category,page,image_path,inset_path,jaw_path,original_image_path
p02_r0_c0,Tissue Forceps (Straight),93131,"5"", 6"", 8"" & 10""",Surgical Forceps,2,dataset/processed/p02_r0_c0_full.png,dataset/processed/p02_r0_c0_inset.png,dataset/processed/p02_r0_c0_jaw.png,dataset/processed/p02_r0_c0.png
p02_r0_c1,Artery Forceps (Curved),93116,"5"", 6"", 8"", 10"" & 12”",Surgical Forceps,2,dataset/processed/p02_r0_c1_full.png,dataset/processed/p02_r0_c1_inset.png,dataset/processed/p02_r0_c1_jaw.png,dataset/processed/p02_r0_c1.png
p02_r0_c2,Artery Forceps (Straight),93111,"5"", 6"", 8"", 10"" & 12”",Surgical Forceps,2,dataset/processed/p02_r0_c2_full.png,,dataset/processed/p02_r0_c2_jaw.png,dataset/processed/p02_r0_c2.png
p02_r0_c3,Bozeman Needle Holder,93170,"6"", 8"" & 10""",Surgical Forceps,2,dataset/processed/p02_r0_c3_full.png,dataset/processed/p02_r0_c3_inset.png,dataset/processed/p02_r0_c3_jaw.png,dataset/processed/p02_r0_c3.png
p02_r0_c4,Cervical Punch Biopsy Forceps,93235,,Surgical Forceps,2,dataset/processed/p02_r0_c4_full.png,dataset/processed/p02_r0_c4_inset.png,dataset/processed/p02_r0_c4_jaw.png,dataset/processed/p02_r0_c4.png
p02_r0_c5,Cheatle Forceps,93165,"8"", 10"" & 12”",Surgical Forceps,2,dataset/processed/p02_r0_c5_full.png,dataset/processed/p02_r0_c5_inset.png,dataset/processed/p02_r0_c5_jaw.png,dataset/processed/p02_r0_c5.png
p02_r1_c1,Backhaus Towel Forceps,93162,,Surgical Forceps,2,dataset/processed/p02_r1_c1_full.png,dataset/processed/p02_r1_c1_inset.png,dataset/processed/p02_r1_c1_jaw.png,dataset/processed/p02_r1_c1.png
p02_r1_c2,Ball Socket Towel Clamp Sk Wel Ku: 94378,94378,,Surgical Forceps,2,dataset/processed/p02_r1_c2_full.png,,dataset/processed/p02_r1_c2_jaw.png,dataset/processed/p02_r1_c2.png
p02_r1_c3,Collin Tongue Holding Forceps,93385 SKU: 93385,,Surgical Forceps,2,dataset/processed/p02_r1_c3_full.png,dataset/processed/p02_r1_c3_inset.png,dataset/processed/p02_r1_c3_jaw.png,dataset/processed/p02_r1_c3.png
p02_r1_c4,Crile Artery Forceps (Straight),93340,6” & 8”,Surgical Forceps,2,dataset/processed/p02_r1_c4_full.png,dataset/processed/p02_r1_c4_inset.png,dataset/processed/p02_r1_c4_jaw.png,dataset/processed/p02_r1_c4.png
